,,Anul I Seria A,,,,,,Anul I Seria B,,,,,,,,,,Anul I Seria C,,,,,,,,,,Anul I Seria D,,,,,,,Anul I Seria E,,,,,,Anul I Seria F,,,,,,,,,,,,Anul I Seria G,,,,,,,curs,curs,curs,sem,,,,,,,,
,,411A,412A,413A,414A,sala,,411Ba,411Bb,412Ba,412Bb,413Ba,413Bb,414Ba,414Bb,sala,,411Ca,411Cb,412Ca,412Cb,413Ca,413Cb,414Ca,414Cb,sala,,411D,412D,413D,414D,415D,sala,,411E,412E,413E,414E,sala,,411Fa,411Fb,412Fa,412Fb,413Fa,413Fb,414Fa,414Fb,415Fa,415Fb,sala,,411G,412G,413Ga,413Gb,414Ga,414Gb,sala,B306,B219a,B212,,METc (l),Fiz2 (l),SDA (l),,,,,
,19-20,,,,,,19-20,,,,,,,,,,19-20,,,,,,,,,,19-20,,,,,"AM2 (s)
B09",,19-20,,,,,,19-20,,,,,,,,,-- / MS (s) B10,,,19-20,,,,,,,,0,0,0,1.5,0,0,0,14,,,,
,20-21,,,,,,20-21,,,,,,,,,,20-21,,,,,,,,,,20-21,,,,,,,20-21,,,,,,20-21,,,,,,,,,,,,20-21,,,,,,,,0,0,0,,,,,,,Legendă,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
VINERI,08-09,,,,,,08-09,,,,,,,,,,08-09,,,,,,,,,,08-09,,,,,,,08-09,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,0,0,0,,,,,,,"Activitate didactică
obligatorie",,"Act. Săpt impară /
/ Act. Săpt pară"
,09-10,"METc (curs)
Prof. I. Pirnog",,,,B206a,09-10,"-- / AM2 (curs)
-- / prof. L. Lemnete",,,,,,,,B219a,09-10,,,,,,,,,,09-10,"SDA (curs)
prof S. Zoican",,,,,B223a,09-10,"Fiz (l) / 
/ METc (l)","METc (l) /
 / Fiz (l)","MS (s) B11 /
/ --","-- / 
/ MS (s) B11",,09-10,"AM2 (s) 
B10",,,,,,,,,,,09-10,"SDA (l) /
/ MS (s)
B09","BE2 (s) B09 /
/ SDA (l)",,,,,,0,1,0,3,2,0,1,13,,,,
,10-11,,,,,,10-11,,,,,,,,,,10-11,,,,,,,,,,10-11,,,,,,,10-11,,,,,,10-11,,,,,,,,,,,,10-11,,,,,,,,0,0,0,,,,,,,,,
,11-12,"SDA (curs)
prof. B. Ionescu",,,,B212,11-12,"METc (curs)
prof. S. Obreja",,,,,,,,B219a,11-12,,,,,,,,,,11-12,"Fizică2 (curs)
prof. S. Ciobanu",,,,,B223a,11-12,-- / METc (l),METc (l) / --,Fiz (l) /--,-- / Fiz (l),,11-12,"BE2 (s) B10 /
/ --",,"-- / 
/ BE2 (s) B10",,"SDA (l) / 
/ -- ","-- /
/SDA (l) 
","AM2 (s) 
B11",,,,,11-12,"BE2 (s) B09 /
/ --","-- /
/ MS (s) B09",,,,,,0,1,1,3,4,0,1,19,,,,
,12-13,,,,,,12-13,,,,,,,,,,12-13,,,,,,,,,,12-13,,,,,,,12-13,,,"Fiz (l) / 
/ METc (l)","METc (l) /
/ Fiz (l)",,12-13,,,,,,,,,,,,12-13,,,,,,,,0,0,0,,,,,,,"Activitate didactică
opţională",,"Act. Săpt impară /
/ ---"
,13-14," BE2 (curs) / Fizică2 (curs)
 prof. I. Hantila / prof. A. Lupascu",,,,B212,13-14,"BE2 (curs)
prof G. Paltanea",,,,,,,,B219a,13-14,,,,,"MS (s) B09 /  
 / --",,"-- / 
/ MS (s) B09",,,13-14,"MS (curs)
prof. O. Andrei",,,,,B223a,13-14,,,"-- / 
/ METc (l)","
METc (l) /
/ --",,13-14,,,"SDA (l) / 
/ -- ","-- /
/SDA (l) 
","BE2 (s) B11 /
 / --",,"-- / 
/ BE2 (s) B11",,"AM2 (s) 
B10",,,13-14,Fiz (l) / --,-- / Fiz (l),,,,,,0,1,1,3,2,0,1,29,,,,
,14-15,,,,,,14-15,,,,,,,,,,14-15,,,,,,,,,,14-15,,,,,,,14-15,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,0,0,0,,,,,,,,,
