,,Anul II Seria A,,,,,,,,,Anul II Seria B,,,,,,,,,Anul II Seria C,,,,,,,,,Anul II Seria D,,,,,,,,,Anul II Seria E,,,,,,,,,Anul II Seria F,,,,,,,,,Anul II Seria G,,,,,,,,,curs,curs,curs,sem,,,,,,,,
,16-17,,,,,,,,,,,,,,,,,,,,,,,ASC (l) / --,,,,,,,,,,,,,,,,,,,,,,B110,,,ASC (l) / --,,,,,,,,,,,,,,,,1,0,0,,,,,,0,,,
,17-18,,,,,,,,,,,,,,,,,,,"CEF (s)
B122",,CID (s+l),,,,,,,,,,,,,,,,"CEF (curs)
prof. D. Dascalu",,,,,,,,B110,,,,,,,,,,"CEF (s)
 Infineon",,,,ASC (l) / --,,-- / ASC (l),,,1,0,0,2,0,1,1,,0,,,
,18-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B110,,,,,,,,,,,,,,ASC (l) / CE (l),,CE (l) / ASC (l),,,1,0,0,,,,,1,0,,,
,19-20,,,,,,,,,,,,,,,,,,,CID (s+l),,"CEF (s)
B122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,1,,0,,,
,20-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,Legendă,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
VINERI,09-10,"CID (curs)
prof. Gheorghe M. Stefan",,,,,,,,A05,CID (s+l),,Sport,,"AMP (l)
/ ---","--- /
AMP (l)",,,,,,ASC (l) / --,,"ASC (s)
B122",,-- / ASC (l),,,"- / CEF (curs)
- / prof.  Florin Draghici",,,,,,,,,,,,,"Man (s) / --
B12 / --",,"-  / Man (s)
-- / B12",,,O3 (c) SPICE (D. Dobrescu) / --,,,,,,,,B110,--- / O3 (c) SPICE (D. Dobrescu),,,,,,,,,1,1,0,2,1,1,1,0,0,"Activitate didactică
obligatorie",,"Act. Săpt impară /
/ Act. Săpt pară"
,10-11,,,,,,,,,A05,,,,,,,,,,,,ASC (l) / CE (l),,,,CE (l) / ASC (l),,,,,,,,,,,B219b,,,,,,,,,,,,,,,,,,,,,,,,,,,B110,1,1,1,,,,,,0,,,
,11-12,"AMP (curs)
prof. Horia Cucu",,,,,,,,A05,"Man (s) / --
B218 / --",,"AMP (l)
/ ---","--- /
AMP (l)","- / Man (s)
- / B218",,CID (s+l),,,,,,,Sport,,,,,"O4 Management (curs)
",,,,,,,,B219b,"Man (s) / --
B12 / --",,"- / Man (s)
- / B12",,,,Sport,,,"CEF (curs)
prof. D. Dobrescu",,,,,,,,B110,"ASC (curs)
prof. Cristian Negrescu",,,,,,,,A101,1,1,1,2,2,,1,,0,,,
,12-13,,,,,,,,,A05,,,,,,,,,,,,,,,,,,,,,,,,,,,B219b,,,,,,,,,,,,,,,,,,B110,,,,,,,,,A101,1,1,1,,,,,0,0,,,
