 ,,Anul I Seria A,,,,,,Anul I Seria B,,,,,,,,,,,,Anul I Seria C,,,,,Anul I Seria D,,,,,,Anul I Seria E,,,,,Anul I Seria F,,,,,,,,,,,Anul I Seria G,,,,,curs,curs,curs,sem,,,,,,,,,,,
,,411A,412A,413A,414A,sala,411Ba,411Bb,412Ba,412Bb,413Ba,413Bb,414Ba,414Bb,413Ba,413Bb,414Ba,414Bb,sala,411C,412C,413C,414C,sala,411D,412D,413D,414D,415D,sala,411E,412E,413E,414E,sala,411Fa,411Fb,412Fa,412Fb,413Fa,413Fb,414Fa,414Fb,415Fa,415Fb,sala,411Ga,411Gb,412Ga,412Gb,sala,B306,B219a,B212,,PC(l),Fiz(l),Chim(l),,B09,B10,B11,B12,,,
PC (curs),,1,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Chimie (curs),,1,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sport(s),,1,1,1,1,,1,1,1,1,1,1,1,1,0,0,0,0,,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
AG(s),,1,1,1,1,,1,1,1,1,1,1,1,1,0,0,0,0,,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
AM1(s),,1,1,1,1,,1,1,1,1,1,1,1,1,0,0,0,0,,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
BE1(s),,1,1,1,1,,1,1,1,1,1,1,1,1,0,0,0,0,,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
Fiz(s),,1,1,1,1,,1,1,1,1,1,1,1,1,0,0,0,0,,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
Fiz(l),,1,1,1,1,,2,2,2,2,1,1,1,1,0,0,0,0,,2,2,2,2,,1,1,1,1,1,,2,2,1,1,,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,,,,,,,,,,,,,,,,
PC(l),,1,1,1,1,,1,1,1,1,1,1,1,1,0,0,0,0,,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
Chim(l),,1,1,1,1,,2,2,2,2,1,1,1,1,0,0,0,0,,2,2,2,2,,1,1,1,1,1,,2,2,1,1,,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,,,,,,,,,,,,,,,,
LS1(s),,1,1,1,1,,1,1,1,1,1,1,1,1,0,0,0,0,,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
