 ,,Anul III Seria A  - CTI,,,,,,,,,,Anul III Seria B  - ELA,,,,,,,,,,,Anul III Seria C  - TST,,,,,,,,,,Anul III Seria D  - RST,,,,,,,,,,Anul III Seria E  - MON,,,,,,,,,,,,Anul III Seria F  - ELA En,,,Anul III Seria G - TST En,,,,,curs,curs,curs,sem,sem,,,,,,,
,,431Aa,431Ab,432Aa,432Ab,433Aa,433Ab,434Aa,434Ab,sala,,431Ba,431Bb,432Ba,432Bb,433Ba,433Bb,434Ba,434Bb,435Ba,sala,,431Ca,431Cb,432Ca,432Cb,433Ca,433Cb,434Ca,434Cb,sala,,431Da,431Db,432Da,432Db,433Da,433Db,434Da,434Db,sala,,431Ea,431Eb,432Ea,432Eb,433Ea,433Eb,434Ea,434Eb,435Ea,435Eb,sala,,431Fa,431Fb,,431Ga,431Gb,432Ga,sala,,A101,A103,B223a,B124,B13,,,,,,,
,11-12,--  /  Circuite integrate analogice (curs)  Prof. C. Dan,,,,,,,,A101,11-12,,,"TTI (l) /
/ --","-- / 
/ TTI (l)",,,,,,,11-12,"uU (s) B124 /
/ -- ",,"-- / 
/ uU (s) B124 ",,IEM(l) / TTI (s) B13,,TTI (s) B13 / IEM(l),,,11-12,"Circuite integrate analogice (curs)
Prof. C. Popa",,,,,,,,A103,11-12,"Circuite integrate analogice (curs) Prof. C. Dan / 
/ --",,,,,,,,,,A101,11-12,"Teoria transmisiunii informatiei (curs)
Prof. D. Stoichescu",,,,,,B223a,11-12,2,1,1,2,4,,,,,,,
,12-13,,,,,,,,,,12-13,,,,,IEM(l) / --,,-- / IEM(l),,,,12-13,,,,,-- / TTI (s) B13,,TTI (s) B13 / --,,,12-13,,,,,,,,,,12-13,,,,,,,,,,,,12-13,,,,,,,,12-13,,,,,,,,,,,,
,13-14,"  Teoria transmisiunii informatiei (curs) Prof. A. Radoi / 
/ Instrumentatie electronica de masura (curs) Prof. R. Preda
",,,,,,,,B223a,13-14,"CIA (l) /
/ --","-- /
/ CIA (l)",,,,,,,,,13-14,"CIA (s) B124 / 
/ --",,"-- /
/ CIA (s) B124",,"-- / 
/ uU (s) A 806 ",,"uU (s) A 806 /
/ -- ",,,13-14,,,,,"uU (l) /
/ --","-- /
/ uU (l)",,,,13-14,"Microunde (curs)
Prof. A. Anghel",,,,,,,,,,A101,13-14,"Circuite integrate analogice (curs) Prof. M. Enachescu /
/ Microunde (curs) Prof. G. Lojewski",,,,,,A103,13-14,1,1,1,2,0,,,,,,,
,14-15,,,,,,,,,,14-15,,,,,,,,,,,14-15,,,,,,,,,,14-15,,,,,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,14-15,,,,,,,,,,,,
,15-16,,,,,,,,,,15-16,"TTI (s) B13 /
/ --",,"CIA (l) /
/ --","-- /
/ CIA (l)",,,,,,,15-16,,,,,"-- /
/ CIA (s) B124",,"CIA (s) B124 /
/ --",,,15-16,,,,,,,,,,15-16,"IEM(l) /
/ --",,"-- / 
/ IEM(l)",,"-- /
/ uU (s) B13",,,,"uU (l) /
/ --","-- /
/ uU (l)",,15-16,,,,"TTI (l) /
/ --","-- /
/ TTI (l)",,,15-16,0,0,0,2,2,,,,,,,
,16-17,,,,,,,,,,16-17,,,,,,,,,,,16-17,,,,,,,,,,16-17,,,,,,,,,,16-17,,,,,,,,,,,,16-17,,,,,,,,16-17,,,,,,,,,,,,
,17-18,,,,,,,,,,17-18,"TTI (l) / 
/ --","-- / 
/ TTI (l)","uU (l) /
/ --","-- /
/ uU (l)",,,,,,,17-18,,,,,,,,,,17-18,,,,,,,,,,17-18,,,,,"-- /
/  CIA (s) B110",,,,,,,17-18,"CIA (l) /
/ --","-- /
/ CIA (l)",,,,,,17-18,0,0,0,0,0,,,,,,,
,18-19,,,,,,,,,,18-19,,,,,,,,,,,18-19,,,,,,,,,,18-19,,,,,,,,,,18-19,,,,,,,,,,,,18-19,,,,,,,,18-19,,,,,,,,,,,,
,19-20,,,,,,,,,,19-20,"uU (l) /
/ --","-- /
/ uU (l)",,,,,,,,,19-20,,,,,,,,,,19-20,,,,,,,,,,19-20,,,,,,,,,,,,19-20,,,,,,,,19-20,0,0,0,0,0,,,,,,,
,20-21,,,,,,,,,,20-21,,,,,,,,,,,20-21,,,,,,,,,,20-21,,,,,,,,,,20-21,,,,,,,,,,,,20-21,,,,,,,,20-21,,,,,,,,,,Legendă,,
